date,presenter,github_username,topic,Notes
2018-05-29,Ashley Maynard,AMaynard10,Git/GitHub tutorial,
2018-06-05,Giana Cirolia,gianatcirolia,"Combining 96-well plates into tall, tidy datasets",
2018-06-12,Bing Wu,bingwu2017,Launching AWS instances with aegea,
2018-06-19,Eric Waltari,ewaltari,Using the `github.com/czbiohub/utilities` tools to align and count RNA-seq data,
2018-06-26,Vedran Hadziosmanovic,Vedranh13,Introduction to deep learning,
2018-07-03,Amy Kistler,amykczb,Basic introduction to de novo sequence assembly of genomes or transcripts from NGS data,
2018-07-10,John Pak,pakjohn1,"A beginners guide to protein visualization using PyMOL, a versatile and open-source molecular graphics environment",
2018-07-17,Michelle Tan,themichelletan,Automatically generating sample sheets for sequencing with R,
2018-07-24,Sam Hao,samlhao,Aligning reads using bowtie2 on AWS,
2018-07-31,Renuka Kumar,renukakumar,Finding restriction enzyme cut sites with regular expressions,
2018-08-07,Gerry Meixiong,gmeixiong,Simplifying Bioinformatics Pipelines with Reflow,
2018-08-14,Rene Sit,renesit,Automating FACS plots using R and ggplot2,
2018-08-21,Kalani Ratnasiri,kalanir,Introduction to methods of quality controlling raw sequencing reads,
2018-08-28,Amy Lyden,alyden,Preparing gene counts and metadata for DESeq2 gene expression analysis,
2018-09-04,Jason Li,Jathrone,"Amplicon-Seq Readmapping —an adventure with blast, bedtools, and jupyter",
2018-09-11,Saharai Caldera,saharai,Converting dataframes to 384 and 96-well plate maps for NGS library processing,
2018-09-18,Hera Canaj,hcanaj,Quilting images into well-plate format using PIL- Python image processing,
2018-09-25,NA,NA,Beyond the Cell Atlas Conference,
2018-10-02,Lincoln Harris,lincoln-harris,Using RStudio through AWS,
2018-10-09,Olga Botvinnik,olgabot,"How to be a bioinformagician, part 1",
2018-10-16,Olga Botvinnik,olgabot,"How to be a bioinformagician, part 2",
2018-10-23,Angela Pisco,aopisco,How to be an Adobe Illustrator wizard,
2018-10-30,David Yllanes,,Markov Chain Monte Carlo Methods,
2018-11-06,Lincoln Harris and Olga Botvinnik,lincoln-harris,Shell Novice from Data Carpentry - https://swcarpentry.github.io/shell-novice/,
2018-11-13,Brian Yu,NA,maybe brian yu?,Olga is OOT
2018-11-20,Office Hours,NA,Thanksgiving Week,
2018-11-27,Lucy Li,lucymli,Phylogeny building and visualization,
2018-12-04,Office Hours,NA,,
2018-12-11,John Pak,,,
2018-12-18,Office hours,NA,Winter Holiday,
2018-12-25,NA,NA,Winter Holiday,Olga is OOT
2019-01-01,NA,NA,Winter Holiday,Olga is OOT
2019-01-08,NA,NA,,Olga is OOT
2019-01-15,Office Hours,NA,,
2019-01-22,James Webber,jamestwebber,,
2019-01-29,Office Hours,NA,,
2019-02-05,Prashanth Ramachandran,,,
2019-02-12,Office Hours,NA,,
2019-02-19,Emily Crawford,,,
2019-02-26,Office Hours,NA,,
2019-03-05,,,,
2019-03-12,Office Hours,NA,,
2019-03-19,Amy Lyden,,,
2019-03-26,Office Hours,NA,,
2019-04-02,Maira Phelps,,,
2019-04-09,Office Hours,NA,,
2019-04-16,Rene Sit,,,
2019-04-23,Office Hours,NA,,
2019-04-30,Saharai Caldera,,,
2019-05-07,Office Hours,NA,,
2019-05-14,David Dynerman,,,
2019-05-21,Office Hours,NA,,
2019-05-28,Jack Kamm,,,
2019-06-04,Office Hours,NA,,
2019-06-11,Bing Wu,,,
2019-06-18,Office Hours,,,
2019-06-25,Eric Waltari,,,
2019-07-02,Office Hours,,,
2019-07-09,Kalani Ratnasiri,,,
2019-07-16,Office Hours,,,
2019-07-23,Michelle Tan,,,
2019-07-30,Office Hours,,,
2019-08-06,Hera Canaj,,,
2019-08-13,Office Hours,,,
2019-08-20,Amy Kistler,,,
2019-08-27,Office Hours,,,
2019-08-28,Bryant Chhun,,,
2019-08-29,Office Hours,,,
2019-08-30,Greg Huber,,,
